account_id,skill_tier
31847355,T4
353484729,T2
173605794,T2
168283433,T0
4623853,T0
55531473,T0
110648782,T2
356868270,T1
2022633,T2
131759669,T1
32538649,T0
189353671,T0
113366950,T0
110769356,T2
131294661,T1
75805269,T1
19603799,T2
97012436,T3
71062707,T2
249559320,T6
12440798,T0
173612490,T0
101723615,T1
185011856,T4
58789732,T3
373272212,T5
6664631,T4
145784220,T2
410458748,T1
89524814,T1
47788572,T6
6593715,T3
83758304,T0
82559588,T0
18299084,T0
80661905,T2
82001998,T4
119172464,T0
160154988,T0
385315755,T2
44101801,T1
232304623,T0
57228217,T6
54761107,T1
151696747,T3
105174129,T0
864501112,T0
34070567,T2
6090446,T3
46400878,T0
22387784,T0
72921501,T3
80789317,T1
118296573,T0
3755168,T0
141267840,T3
56702878,T0
101422856,T0
87223095,T3
28750499,T2
165445468,T3
97784563,T3
11486832,T0
2434151,T4
80559075,T0
45714773,T1
49840075,T5
100295392,T0
88675716,T3
97530520,T0
21559487,T0
38159619,T1
103042848,T5
64273324,T3
98334926,T0
142626208,T0
55009745,T1
7570200,T5
11977506,T3
182611179,T0
38130099,T6
66600600,T1
10719724,T0
69800903,T1
80125641,T4
2072039,T3
130917216,T2
58161949,T1
103932493,T5
92180837,T6
154282741,T3
870477972,T1
105099188,T4
250723719,T2
120721209,T0
104812338,T1
27550829,T2
258446381,T1
141633380,T2
186696472,T0
16919775,T6
96474100,T1
1054078,T4
100580505,T0
106593526,T3
137579449,T1
53442458,T0
97796005,T4
226635233,T0
20390610,T3
35964365,T3
77511192,T3
19686233,T3
32756728,T3
314493683,T0
61723825,T0
66793852,T0
139109275,T1
436846532,T0
13207099,T2
177360821,T3
140178665,T0
42151037,T2
117700547,T0
25701301,T1
4859460,T0
7919900,T1
108570453,T1
61392205,T5
124441378,T4
156984395,T1
26502341,T5
116516540,T3
10485678,T1
59091770,T4
11685468,T0
147529410,T3
42047391,T0
148423547,T3
3444397,T1
74020643,T4
44556682,T0
116937149,T0
61297984,T1
323798087,T5
82053939,T3
129436473,T0
76852459,T3
199238077,T1
29642500,T1
425866355,T3
108372421,T3
1215390,T6
67318655,T1
6486551,T2
172045158,T5
62776806,T5
133092210,T4
47555035,T0
124571588,T0
915684370,T0
141084996,T3
185792564,T0
35844853,T1
54702549,T2
51088278,T0
107366823,T1
143263382,T1
7526887,T0
873380809,T0
80941675,T0
121564797,T0
225026522,T1
54807279,T7
247238841,T0
100594515,T2
65763806,T1
9592492,T1
43399581,T0
71301670,T3
113914640,T3
81065756,T0
11389571,T4
183192365,T0
36309721,T3
192532259,T1
292376008,T0
11815155,T6
120079750,T3
34916543,T3
3671070,T1
2139043,T4
104451252,T0
75694355,T2
100335783,T2
124446936,T1
84099888,T2
90349263,T0
359794581,T0
157318457,T0
70204576,T7
119082859,T1
105272558,T0
49545626,T5
767157,T2
223578299,T5
57301781,T0
119965611,T1
361049432,T2
879973963,T0
323100115,T1
100105110,T1
97586926,T2
82859100,T3
107481401,T2
413405401,T1
45135758,T4
26572214,T3
213112697,T0
312137194,T0
362666307,T2
950139,T3
18799236,T2
8641468,T5
43723551,T2
465286293,T2
45081678,T0
172416620,T1
135978328,T1
118286966,T2
50860313,T1
6715639,T1
173734038,T2
325721582,T3
91190582,T3
115387281,T4
180747241,T0
886711367,T0
119237934,T2
21077628,T2
900173,T2
671488,T4
130910227,T1
26295710,T4
280361656,T1
199354413,T2
152459485,T2
69905920,T4
176403604,T1
12935544,T4
58411854,T1
433687814,T6
174373232,T3
50835217,T3
13418404,T6
304158527,T3
39624309,T1
3914779,T3
35054995,T0
115240876,T1
386235482,T0
4780662,T1
126696171,T3
7462246,T3
322016794,T1
100903005,T4
58617368,T4
107317863,T2
53402061,T4
21434184,T1
3581032,T2
354563378,T1
63383834,T1
132083591,T3
344181944,T2
107435304,T2
10456206,T0
912526950,T2
29735035,T0
53333717,T0
20043147,T2
291156708,T0
27771947,T3
30725178,T0
317441189,T0
231419,T2
113057479,T1
75189758,T1
16214838,T3
96494454,T2
8468742,T0
42299834,T2
165223,T4
22870101,T2
114227,T1
130898348,T1
96894362,T0
155424009,T1
339078095,T2
200438231,T2
16362034,T1
42144431,T3
103010025,T2
4422262,T0
69499529,T0
52742995,T0
54054372,T0
838878687,T1
60613818,T3
76825480,T4
137739471,T3
45388470,T0
3829229,T1
95122034,T2
95242228,T2
50259962,T0
54406624,T0
138823232,T2
31681386,T2
34541781,T0
4784992,T1
51109276,T1
61732657,T4
74070483,T4
257613831,T0
267939348,T1
86132821,T1
67885226,T1
95454449,T0
309217389,T2
123857922,T3
78408702,T0
94503610,T1
46063571,T5
838987276,T1
45807522,T1
179056248,T3
13278809,T0
228162874,T0
161209016,T0
100838486,T0
120915803,T2
95173890,T3
61719531,T0
383569179,T0
67853545,T5
68957140,T1
144357216,T0
168337849,T0
328823076,T0
436892958,T0
14898373,T2
135088547,T2
54565285,T3
4048360,T0
141951985,T1
200572718,T0
