coordinates,map,team
"114.86 35.38 132.56",ns2_unearthed,aliens
"115.56 35.67 133.55",ns2_unearthed,aliens
"112.60 34.31 129.96",ns2_unearthed,marines
"111.66 34.63 130.17",ns2_unearthed,aliens
"116.82 34.39 135.64",ns2_unearthed,marines
"117.21 34.39 134.52",ns2_unearthed,marines
"108.67 34.84 137.17",ns2_unearthed,marines
"109.86 35.09 137.46",ns2_unearthed,aliens
"111.98 36.74 134.72",ns2_unearthed,aliens
"105.45 37.37 142.14",ns2_unearthed,marines
"93.54 37.39 154.32",ns2_unearthed,marines
"98.23 37.37 145.44",ns2_unearthed,marines
"92.64 34.25 129.21",ns2_unearthed,marines
"100.45 37.37 146.50",ns2_unearthed,marines
"106.10 37.39 133.27",ns2_unearthed,marines
"132.66 30.07 46.43",ns2_unearthed,aliens
"128.36 29.80 46.03",ns2_unearthed,marines
"135.47 29.07 51.29",ns2_unearthed,aliens
"128.82 30.30 81.34",ns2_unearthed,marines
"116.21 28.50 80.13",ns2_unearthed,marines
"98.20 33.60 95.64",ns2_unearthed,marines
"97.82 30.49 73.59",ns2_unearthed,aliens
"110.08 31.17 96.11",ns2_unearthed,marines
"88.52 28.92 77.35",ns2_unearthed,aliens
"179.01 29.87 28.17",ns2_unearthed,marines
"94.24 30.51 75.43",ns2_unearthed,aliens
"103.02 30.35 75.67",ns2_unearthed,marines
"179.34 29.92 28.32",ns2_unearthed,aliens
"182.84 29.74 26.88",ns2_unearthed,marines
"101.67 29.60 84.53",ns2_unearthed,marines
"161.48 29.89 29.93",ns2_unearthed,marines
"100.98 30.74 85.93",ns2_unearthed,marines
"160.97 30.94 29.41",ns2_unearthed,aliens
"98.27 30.49 74.59",ns2_unearthed,aliens
"85.57 28.85 74.76",ns2_unearthed,marines
"89.23 29.42 61.37",ns2_unearthed,marines
"87.67 28.88 57.27",ns2_unearthed,marines
"197.02 31.47 39.18",ns2_unearthed,marines
"103.67 30.29 79.64",ns2_unearthed,aliens
"100.83 30.50 75.01",ns2_unearthed,marines
"129.94 32.35 64.83",ns2_unearthed,marines
"141.72 36.70 31.42",ns2_unearthed,marines
"127.29 32.62 29.54",ns2_unearthed,marines
"110.59 31.74 17.19",ns2_unearthed,aliens
