x,y,z,map
43.81,0.21,0.35,ns2_tram
29.07,-2.41,49.81,ns2_tram
43.03,3.45,120.92,ns2_tram
45.47,0.22,4.17,ns2_tram
17.62,0.19,7.97,ns2_tram
10.60,0.21,6.32,ns2_tram
41.25,0.17,25.45,ns2_tram
32.77,-2.40,47.20,ns2_tram
-2.84,-2.49,-7.64,ns2_tram
-3.81,-2.14,-5.80,ns2_tram
30.11,1.28,114.62,ns2_tram
15.87,-0.10,-9.93,ns2_tram
24.21,0.21,-8.42,ns2_tram
5.17,-2.42,-3.08,ns2_tram
21.82,0.55,-3.88,ns2_tram
15.11,0.19,9.43,ns2_tram
8.51,-2.42,-8.12,ns2_tram
38.63,2.36,26.67,ns2_tram
9.24,-2.42,-11.37,ns2_tram
22.73,0.21,-3.35,ns2_tram
8.75,-2.51,-11.06,ns2_tram
8.69,-2.42,-10.88,ns2_tram
37.69,0.21,4.54,ns2_tram
42.50,1.94,5.70,ns2_tram
45.21,0.25,4.36,ns2_tram
42.78,0.21,2.22,ns2_tram
45.76,2.15,11.35,ns2_tram
25.14,0.21,1.68,ns2_tram
22.19,-0.19,2.20,ns2_tram
26.32,0.21,-8.72,ns2_tram
37.11,0.21,28.14,ns2_tram
-6.00,1.83,84.68,ns2_tram
30.94,-2.28,52.99,ns2_tram
27.89,0.72,8.57,ns2_tram
-24.38,-1.68,-0.84,ns2_tram
18.39,-0.15,3.99,ns2_tram
21.61,-0.19,2.57,ns2_tram
25.63,0.58,0.38,ns2_tram
-2.10,-3.24,-4.92,ns2_tram
4.74,-0.50,96.09,ns2_tram
-7.60,-1.01,0.73,ns2_tram
32.78,-2.40,49.08,ns2_tram
33.11,12.02,38.65,ns2_tram
41.44,0.21,2.53,ns2_tram
20.95,0.79,-7.51,ns2_tram
35.31,-2.80,65.67,ns2_tram
45.80,10.74,52.93,ns2_tram
45.11,0.95,91.13,ns2_tram
3.53,-1.64,-11.88,ns2_tram
5.76,-2.42,-9.34,ns2_tram
3.74,-2.42,-10.34,ns2_tram
-1.66,-3.24,-2.30,ns2_tram
4.29,-2.42,-8.75,ns2_tram
41.06,0.21,3.59,ns2_tram
45.76,2.11,11.78,ns2_tram
50.78,-0.82,35.78,ns2_tram
39.10,0.25,35.50,ns2_tram
43.76,0.21,27.68,ns2_tram
37.67,1.59,29.89,ns2_tram
39.09,-2.39,40.68,ns2_tram
42.50,-2.42,48.71,ns2_tram
28.66,1.42,112.75,ns2_tram
24.96,1.93,90.97,ns2_tram
7.10,-3.45,32.41,ns2_tram
2.66,-0.13,96.20,ns2_tram
19.30,1.10,115.17,ns2_tram
18.45,1.51,109.53,ns2_tram
28.89,1.52,100.78,ns2_tram
-7.59,-1.92,2.05,ns2_tram
-0.06,0.87,93.08,ns2_tram
45.15,0.20,29.29,ns2_tram
3.20,-0.50,103.38,ns2_tram
6.16,-0.50,104.68,ns2_tram
26.65,0.21,-4.84,ns2_tram
46.25,0.00,2.03,ns2_tram
-0.53,1.31,79.23,ns2_tram
44.11,0.44,-0.21,ns2_tram
46.07,12.17,48.78,ns2_tram
-6.25,2.88,74.54,ns2_tram
-5.29,1.83,77.57,ns2_tram
47.10,-1.92,25.35,ns2_tram
-6.85,1.83,81.35,ns2_tram
44.28,2.34,25.54,ns2_tram
-1.49,1.73,91.04,ns2_tram
-4.12,2.25,96.82,ns2_tram
0.29,0.61,80.47,ns2_tram
3.89,0.65,82.20,ns2_tram
-16.81,-0.73,67.43,ns2_tram
-24.72,-0.61,68.20,ns2_tram
-18.64,-1.48,70.27,ns2_tram
-2.05,1.17,65.99,ns2_tram
-0.60,0.62,65.47,ns2_tram
2.70,0.71,63.60,ns2_tram
-18.46,-1.51,66.69,ns2_tram
-19.75,-1.23,63.24,ns2_tram
-26.82,-1.81,-3.59,ns2_tram
14.60,0.19,6.94,ns2_tram
-0.40,2.51,76.32,ns2_tram
17.10,0.14,5.80,ns2_tram
-5.05,1.82,85.83,ns2_tram
-4.19,1.82,89.69,ns2_tram
-7.06,1.22,63.84,ns2_tram
3.98,-2.31,0.86,ns2_tram
11.17,-2.43,-7.52,ns2_tram
10.57,-2.42,-8.28,ns2_tram
27.98,-3.44,67.38,ns2_tram
19.62,-3.44,67.16,ns2_tram
-18.14,-1.55,66.49,ns2_tram
31.34,7.39,49.48,ns2_tram
24.59,2.04,-5.15,ns2_tram
-7.65,0.61,65.35,ns2_tram
1.18,0.61,63.66,ns2_tram
0.90,0.63,63.59,ns2_tram
4.81,-2.42,-1.49,ns2_tram
28.31,0.21,0.18,ns2_tram
-1.51,0.61,74.46,ns2_tram
-0.68,1.55,75.34,ns2_tram
0.97,0.61,73.87,ns2_tram
-0.18,1.64,69.95,ns2_tram
-0.01,0.71,68.06,ns2_tram
-1.00,4.37,59.31,ns2_tram
-4.57,3.00,78.63,ns2_tram
0.83,-2.43,-8.91,ns2_tram
0.74,0.61,75.62,ns2_tram
-2.72,3.06,89.59,ns2_tram
1.04,2.25,74.91,ns2_tram
0.81,0.59,80.33,ns2_tram
-6.62,0.61,62.67,ns2_tram
-9.51,0.42,62.41,ns2_tram
-1.64,0.61,67.41,ns2_tram
-0.13,0.71,73.05,ns2_tram
2.27,0.66,76.78,ns2_tram
5.65,2.36,81.42,ns2_tram
0.13,1.84,78.48,ns2_tram
-22.06,-1.51,59.36,ns2_tram
16.76,2.20,25.26,ns2_tram
-19.95,-1.51,67.08,ns2_tram
-8.51,0.97,66.73,ns2_tram
36.23,1.14,26.10,ns2_tram
42.39,2.71,24.97,ns2_tram
27.21,1.53,114.04,ns2_tram
22.94,3.15,119.29,ns2_tram
-14.42,-3.03,3.93,ns2_tram
-2.73,1.82,82.49,ns2_tram
2.38,-0.60,101.79,ns2_tram
-11.63,0.28,42.37,ns2_tram
17.72,1.86,101.19,ns2_tram
37.24,-1.95,49.50,ns2_tram
42.59,-2.42,40.84,ns2_tram
41.05,1.50,30.21,ns2_tram
41.32,-3.49,74.23,ns2_tram
-85.56,-1.56,36.96,ns2_tram
38.63,-2.67,77.14,ns2_tram
-84.50,-1.46,37.60,ns2_tram
-31.33,-0.90,1.16,ns2_tram
-26.47,-2.83,22.64,ns2_tram
-15.58,-2.83,21.82,ns2_tram
-10.56,-2.83,22.11,ns2_tram
44.85,1.16,93.28,ns2_tram
44.88,0.10,83.97,ns2_tram
43.81,0.61,94.59,ns2_tram
27.79,2.18,95.68,ns2_tram
41.36,2.71,126.46,ns2_tram
26.64,1.72,95.60,ns2_tram
27.59,2.75,125.26,ns2_tram
24.99,1.93,87.45,ns2_tram
-22.21,-1.51,85.95,ns2_tram
35.29,-2.72,73.70,ns2_tram
30.11,-3.75,64.78,ns2_tram
30.74,-0.12,85.40,ns2_tram
32.05,1.81,74.22,ns2_tram
-30.60,-0.03,72.90,ns2_tram
-29.56,-0.39,60.31,ns2_tram
-25.26,-1.41,62.91,ns2_tram
-32.01,0.00,60.20,ns2_tram
-35.47,-0.39,61.37,ns2_tram
36.32,-0.07,21.03,ns2_tram
41.24,-2.42,47.47,ns2_tram
30.41,-3.44,67.70,ns2_tram
36.07,-3.51,73.96,ns2_tram
30.87,-3.64,74.87,ns2_tram
40.37,-3.44,67.32,ns2_tram
-4.03,1.83,86.32,ns2_tram
31.36,3.21,105.01,ns2_tram
39.03,4.94,100.21,ns2_tram
27.10,1.53,100.18,ns2_tram
-26.18,-1.51,66.05,ns2_tram
-29.14,-0.39,60.49,ns2_tram
23.38,1.84,85.63,ns2_tram
-27.42,-2.02,65.04,ns2_tram
-23.47,-1.51,65.34,ns2_tram
-2.78,2.54,75.05,ns2_tram
0.58,0.61,78.17,ns2_tram
40.44,4.67,98.09,ns2_tram
-2.14,1.61,90.05,ns2_tram
7.85,-0.33,103.42,ns2_tram
35.84,-2.42,49.84,ns2_tram
-0.23,0.63,64.45,ns2_tram
12.43,4.31,85.53,ns2_tram
-15.26,-1.41,64.76,ns2_tram
-28.48,-2.22,66.74,ns2_tram
-4.98,2.45,65.12,ns2_tram
8.11,5.42,74.78,ns2_tram
