x,y,z,team
-27.35,0.73,-5.63,aliens
-22.78,-0.75,-3.98,marines
-33.89,1.10,-9.25,aliens
-5.45,-3.85,-42.21,marines
-5.63,-3.85,-42.10,marines
-5.31,-3.85,-39.03,marines
-4.80,-3.34,-35.60,marines
-5.26,-3.85,-40.52,marines
-22.09,-0.38,-31.00,aliens
-5.64,-3.85,-42.66,marines
-5.34,-3.85,-39.63,marines
-4.51,-3.34,-35.13,marines
-5.03,-3.85,-38.82,marines
-6.76,-3.85,-38.34,marines
-22.86,-0.25,-3.81,aliens
-20.37,-0.75,-11.15,aliens
-18.51,-0.75,5.34,aliens
-19.67,-0.66,9.06,aliens
-5.78,-3.85,-44.44,marines
-6.56,-3.85,-43.91,marines
-6.07,-3.73,-54.21,marines
-11.25,-1.76,-57.06,aliens
-24.14,-3.44,-55.30,marines
-23.05,-1.61,-35.46,aliens
-22.23,-1.61,-36.46,aliens
-5.40,-3.85,-44.78,marines
-3.55,-2.77,-58.95,marines
-17.29,-0.28,-16.57,aliens
-14.22,1.29,-12.67,aliens
-21.78,-1.61,-29.55,aliens
-4.57,-2.60,-43.40,marines
-5.77,-3.88,-43.10,marines
-5.28,-3.85,-45.41,marines
-6.81,-3.85,-51.39,marines
-22.67,-1.61,-25.00,aliens
-24.01,-1.61,-45.10,marines
-22.31,-1.61,-26.31,aliens
-19.86,0.14,-14.77,aliens
-17.78,2.30,6.33,aliens
-5.91,-3.85,-44.39,marines
-5.40,-3.85,-43.53,marines
-16.22,-0.21,-49.24,aliens
-4.69,-3.85,-43.90,marines
-4.67,-3.85,-42.21,marines
-18.94,0.07,8.43,marines
-7.07,-3.67,-54.35,marines
-25.51,0.06,-43.57,aliens
-16.93,-0.91,-50.68,aliens
-25.36,-3.17,-52.96,marines
-30.10,-3.44,-49.10,aliens
-20.21,-0.75,7.49,aliens
-21.35,1.07,-52.22,aliens
-4.98,-3.85,-44.05,marines
-19.35,-1.92,10.91,marines
-4.22,-3.85,-42.82,marines
-4.41,-3.85,-44.35,marines
-20.27,-1.32,7.57,marines
-18.12,1.67,5.40,aliens
-16.89,-0.45,-14.03,aliens
-19.80,1.74,6.15,aliens
-20.67,-1.61,-22.96,aliens
-17.92,-1.92,13.54,marines
-6.42,-3.85,-39.42,aliens
-5.36,-3.85,-44.51,marines
-4.29,-3.85,-43.79,marines
-5.89,-3.85,-45.87,marines
-17.68,-1.92,14.11,marines
-25.78,0.90,-4.97,aliens
-17.15,-1.61,-21.31,marines
-17.73,-1.61,-21.44,aliens
-19.08,-1.92,10.25,marines
-4.71,-3.85,-43.71,marines
-3.58,-3.85,-42.35,marines
-4.52,-3.85,-42.69,marines
-4.19,-3.85,-43.06,marines
-30.26,-3.18,-45.85,aliens
-23.64,-1.64,-35.39,aliens
-28.27,-3.44,-48.24,marines
-24.07,-1.61,-40.25,aliens
-31.12,-1.78,-24.17,aliens
-4.57,-3.85,-43.56,marines
-5.85,-3.85,-44.35,marines
-5.20,-3.85,-45.96,marines
-5.64,-3.85,-41.24,aliens
-5.89,-3.85,-43.86,marines
-9.16,-3.44,-57.71,marines
-23.68,-1.61,-31.11,aliens
-22.29,-1.33,-28.12,aliens
-30.26,-0.82,0.27,aliens
-4.55,-3.85,-43.28,marines
-4.56,-3.85,-44.40,marines
-8.03,-3.35,-49.46,aliens
-5.26,-3.85,-44.79,marines
-3.71,-3.85,-43.14,marines
-4.89,-3.85,-43.92,marines
-4.49,-3.85,-43.21,marines
-22.94,-1.61,-40.76,aliens
-6.49,-3.85,-43.39,marines
-5.50,-3.85,-42.87,marines
-26.21,-1.61,-42.60,marines
-19.43,-1.65,-46.10,aliens
-5.28,-3.85,-43.19,marines
-4.99,-3.85,-39.92,marines
-5.38,-3.43,-37.43,marines
-7.03,-3.85,-47.01,marines
-18.07,-1.92,12.01,marines
-19.10,-1.92,13.67,marines
-22.57,-1.61,-29.28,aliens
-4.64,-3.85,-51.37,aliens
-6.11,-3.85,-44.21,marines
-19.22,-1.92,10.78,marines
-4.36,-3.85,-43.91,marines
-4.46,-3.85,-43.37,marines
-3.76,-3.85,-42.64,marines
-22.14,-1.61,-31.75,aliens
-18.90,-1.92,10.10,marines
-7.25,-3.85,-47.36,marines
-36.94,0.47,-10.29,aliens
-4.36,-3.85,-44.04,marines
-19.71,0.87,3.35,aliens
-21.12,-1.61,-37.52,marines
-22.19,-1.61,-40.64,aliens
-24.54,-0.75,-9.74,aliens
-4.92,-3.85,-43.66,marines
-4.65,-3.85,-44.19,marines
-4.33,-3.85,-43.35,marines
-8.99,-3.08,-48.12,aliens
-4.50,-3.85,-43.92,marines
-4.74,-3.85,-43.58,marines
-4.76,-2.03,-42.50,aliens
-3.47,-3.85,-43.99,marines
-19.93,0.35,-20.86,aliens
-20.14,-1.61,-47.81,aliens
-7.37,-3.85,-47.89,marines
-4.86,-3.68,-37.98,aliens
-20.13,-1.92,13.62,marines
-5.02,-3.85,-43.24,marines
-4.14,-2.84,-42.25,marines
-4.32,-3.85,-42.90,marines
-17.11,-0.85,6.94,aliens
-4.19,-3.85,-44.24,marines
-19.14,-0.96,9.31,aliens
-18.70,-1.92,9.96,marines
-16.94,-0.16,-18.36,aliens
-20.00,-0.58,-21.59,marines
-22.31,-1.61,-22.75,marines
-18.49,-1.61,-21.92,marines
-19.57,-1.61,-24.17,marines
-22.39,0.57,-21.96,aliens
-23.49,-0.17,-21.78,marines
-20.07,-1.61,-21.50,marines
-35.67,-0.82,-4.12,aliens
-22.96,-0.75,-0.09,aliens
-39.68,0.10,-9.10,marines
