coordinates,map,team
"-4.87 -3.35 -41.85",ns2_biodome,aliens
"15.30 -4.64 -33.22",ns2_biodome,aliens
"18.68 -5.67 -32.65",ns2_biodome,aliens
"20.35 -2.47 -28.25",ns2_biodome,aliens
"27.71 -0.82 -72.68",ns2_biodome,aliens
"14.92 -5.67 -63.04",ns2_biodome,aliens
"25.84 -5.78 -42.73",ns2_biodome,aliens
"15.47 -4.46 -74.46",ns2_biodome,marines
"28.17 -5.67 -29.78",ns2_biodome,marines
"8.47 -3.90 -36.65",ns2_biodome,aliens
"-6.15 -3.85 -46.07",ns2_biodome,marines
"-16.09 -0.28 -50.17",ns2_biodome,aliens
"19.60 -5.67 -30.86",ns2_biodome,aliens
"18.10 -5.67 -33.34",ns2_biodome,aliens
"25.43 -2.75 -34.08",ns2_biodome,aliens
"15.17 -5.46 -35.49",ns2_biodome,aliens
"19.99 -5.67 -56.60",ns2_biodome,aliens
"25.39 -3.02 -70.60",ns2_biodome,aliens
"37.81 -0.89 -93.06",ns2_biodome,aliens
"32.78 0.42 -96.22",ns2_biodome,aliens
"35.17 -1.92 -93.96",ns2_biodome,aliens
"34.49 0.00 -100.13",ns2_biodome,marines
"41.15 0.39 -93.31",ns2_biodome,aliens
"41.28 0.91 -92.91",ns2_biodome,aliens
"-34.97 0.64 -3.60",ns2_biodome,aliens
"-32.33 -0.50 -4.76",ns2_biodome,aliens
"-50.78 0.56 1.56",ns2_biodome,aliens
"-42.38 2.00 2.35",ns2_biodome,aliens
"43.66 -0.29 -86.92",ns2_biodome,aliens
"28.40 -4.29 -41.07",ns2_biodome,aliens
"27.60 -4.08 -57.00",ns2_biodome,aliens
"24.64 -5.04 -48.60",ns2_biodome,aliens
"41.07 0.03 -92.13",ns2_biodome,marines
"42.50 -0.42 -94.52",ns2_biodome,aliens
"43.37 -0.69 -90.76",ns2_biodome,aliens
"40.95 1.36 -88.92",ns2_biodome,aliens
"32.21 -4.35 -74.26",ns2_biodome,marines
"21.62 -4.46 -70.88",ns2_biodome,marines
"35.67 -3.44 -68.90",ns2_biodome,marines
"14.45 -4.46 -73.89",ns2_biodome,marines
"20.98 -5.67 -58.06",ns2_biodome,marines
"-18.39 -1.59 -17.37",ns2_biodome,marines
"-17.26 -0.78 -13.46",ns2_biodome,aliens
"-17.96 -1.39 -16.02",ns2_biodome,marines
"-19.43 0.64 -12.84",ns2_biodome,aliens
"-21.88 -1.61 -27.48",ns2_biodome,aliens
"-3.66 -3.46 -46.28",ns2_biodome,aliens
"-2.86 -3.36 -47.90",ns2_biodome,aliens
"-4.89 -3.59 -44.69",ns2_biodome,aliens
"-6.16 -3.26 -47.36",ns2_biodome,aliens
"-3.95 -3.61 -46.45",ns2_biodome,aliens
"-4.53 -3.39 -44.03",ns2_biodome,aliens
"-14.61 -1.01 -48.89",ns2_biodome,aliens
"-1.07 -3.85 -38.81",ns2_biodome,aliens
"-3.72 -3.85 -38.24",ns2_biodome,aliens
"-9.28 -0.69 -35.24",ns2_biodome,aliens
"-4.00 -2.21 -37.10",ns2_biodome,aliens
"-4.31 -3.43 -37.42",ns2_biodome,marines
"-9.96 -3.34 -36.67",ns2_biodome,marines
"-3.71 -3.85 -41.63",ns2_biodome,aliens
"-3.90 -2.09 -46.53",ns2_biodome,aliens
"-2.96 -3.85 -39.67",ns2_biodome,marines
"-5.53 -3.85 -44.04",ns2_biodome,marines
"-6.79 -1.60 -46.84",ns2_biodome,aliens
