x,y,z,map
59.29,-0.51,-96.97,ns2_veil_cured
-44.45,-6.88,-25.22,ns2_veil_cured
-35.88,-6.03,-14.66,ns2_veil_cured
-64.60,-4.15,-102.10,ns2_veil_cured
-63.36,-4.15,-97.74,ns2_veil_cured
-63.02,-2.60,-97.32,ns2_veil_cured
-10.42,-1.83,-40.94,ns2_veil_cured
-0.50,-2.30,-96.80,ns2_veil_cured
-43.80,-5.95,-23.78,ns2_veil_cured
-50.56,-7.32,-16.78,ns2_veil_cured
-50.87,-7.32,-17.23,ns2_veil_cured
-51.94,-0.76,-111.09,ns2_veil_cured
-56.51,-7.03,-34.98,ns2_veil_cured
-53.84,-7.32,-26.61,ns2_veil_cured
-34.51,0.31,-116.83,ns2_veil_cured
-31.41,-2.30,-135.25,ns2_veil_cured
-30.08,-2.30,-132.62,ns2_veil_cured
-40.23,-2.30,-135.77,ns2_veil_cured
-37.27,-2.20,-135.43,ns2_veil_cured
-40.57,-3.40,-89.75,ns2_veil_cured
-33.94,-1.43,-138.07,ns2_veil_cured
-33.76,-0.82,-139.66,ns2_veil_cured
-56.51,-4.57,-45.08,ns2_veil_cured
-0.67,-2.30,-82.60,ns2_veil_cured
1.05,-2.30,-87.62,ns2_veil_cured
40.64,-1.51,-156.56,ns2_veil_cured
-37.44,-6.99,-15.35,ns2_veil_cured
-38.53,-7.22,-20.85,ns2_veil_cured
-46.49,-6.94,-17.82,ns2_veil_cured
-50.00,-6.19,-20.46,ns2_veil_cured
-11.12,-2.32,-33.26,ns2_veil_cured
-45.36,-7.05,-16.56,ns2_veil_cured
-46.47,-7.32,-16.91,ns2_veil_cured
-34.76,-1.24,-137.72,ns2_veil_cured
-46.24,-7.33,-19.37,ns2_veil_cured
-53.94,-2.30,-110.38,ns2_veil_cured
-17.50,-2.27,-114.31,ns2_veil_cured
11.51,0.92,-26.12,ns2_veil_cured
37.17,2.57,-150.48,ns2_veil_cured
-47.27,0.12,-45.19,ns2_veil_cured
-27.42,-2.30,-57.38,ns2_veil_cured
-33.41,-1.70,-59.91,ns2_veil_cured
9.03,0.80,-70.47,ns2_veil_cured
-48.09,-1.31,-118.14,ns2_veil_cured
-33.54,-2.16,-64.47,ns2_veil_cured
-70.56,-1.86,-68.54,ns2_veil_cured
-51.72,-2.53,-108.37,ns2_veil_cured
-49.10,-1.39,-113.74,ns2_veil_cured
-36.66,-0.68,-58.62,ns2_veil_cured
-51.70,-2.42,-107.30,ns2_veil_cured
-48.28,-0.28,-109.43,ns2_veil_cured
-54.67,-4.16,-98.85,ns2_veil_cured
-62.07,-3.85,-67.74,ns2_veil_cured
-61.41,-4.15,-68.12,ns2_veil_cured
-41.84,0.07,-59.23,ns2_veil_cured
33.94,-2.30,-161.60,ns2_veil_cured
-2.15,-1.67,-91.38,ns2_veil_cured
-51.13,-2.31,-110.32,ns2_veil_cured
-45.89,-2.30,-118.67,ns2_veil_cured
-49.31,-0.94,-119.29,ns2_veil_cured
36.83,-1.70,-156.85,ns2_veil_cured
-8.33,-1.56,-85.55,ns2_veil_cured
-42.47,-1.30,-118.88,ns2_veil_cured
-16.66,-1.14,-87.21,ns2_veil_cured
-15.51,-2.30,-87.55,ns2_veil_cured
-15.06,-1.67,-87.71,ns2_veil_cured
-39.81,-2.52,-90.98,ns2_veil_cured
-10.51,-1.16,-41.92,ns2_veil_cured
-38.99,-1.70,-95.05,ns2_veil_cured
-24.67,-2.30,-78.12,ns2_veil_cured
-25.16,-0.99,-57.40,ns2_veil_cured
-29.12,-2.30,-59.00,ns2_veil_cured
-25.10,-2.35,-59.72,ns2_veil_cured
-9.21,-0.51,-55.40,ns2_veil_cured
-21.99,-2.35,-55.35,ns2_veil_cured
-23.65,-2.35,-56.33,ns2_veil_cured
34.10,-1.09,-36.10,ns2_veil_cured
0.09,-1.23,-88.59,ns2_veil_cured
-68.61,-3.01,-85.48,ns2_veil_cured
12.15,-3.93,-152.79,ns2_veil_cured
-40.62,-0.98,-57.95,ns2_veil_cured
-34.32,-0.93,-127.67,ns2_veil_cured
2.41,-2.27,-129.31,ns2_veil_cured
